,Organization,vision_weighted_score
0,Company 1A,3.8
1,Company 1B,4.6000000000000005
2,Company 1C,1.5000000000000002
3,Company 1D,0.6
4,Company 1E,2.0500000000000003
5,Company 1F,0.8300000000000001
6,Company 1G,1.3
7,Company 1H,1.4000000000000001
8,Company 1I,5.699999999999999
9,Company 1J,4.1000000000000005
10,Company 1K,2.5
11,Company 1L,0.7000000000000001
12,Company 1M,2.1
13,Company 1N,0.3
14,Company 1O,2.3000000000000003
15,Company 1P,0.3
16,Company 1Q,3.5999999999999996
17,Company 1R,1.3
18,Company 1S,6.200000000000001
19,Company 1T,1.6
20,Company 1U,1.3
21,Company 1V,2.1
22,Company 1W,1.0
23,Company 1X,1.1
